Headliner,Tour Name,Support,Date,Venue,City,State,Country,Source URL
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,5/7/2026,Roseland Theater,Portland,Oregon,United States,https://www.boyslikegirls.com
The Maine,I Love You But I Chose The Maine 2026 Tour,,4/1/2026,Roseland Theater,Portland,Oregon,United States,https://www.themaineband.com/
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Initiate,3/24/2026,Revolution Hall,Portland,Oregon,United States,https://thewonderyearsband.com
Bad Omens,Do You Feel Love North America Tour,Beartooth; President,3/13/2026,Xfinity Mobile Arena,Philadelphia,Pennsylvania,United States,https://www.badomensofficial.com
Bilmuri,Kinda Hard Tour 2026,The Home Team; GANG!,5/11/2026,UPMC Events Center,Moon Township,Pennsylvania,United States,https://www.bilmuri.com/tour
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,4/2/2026,Roxian Theatre Presented by Citizens,McKees Rocks,Pennsylvania,United States,https://www.boyslikegirls.com
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,4/9/2026,The Met Presented by Highmark,Philadelphia,Pennsylvania,United States,https://www.boyslikegirls.com
Bring Me The Horizon,North American Ascension Program 2 Tour,Motionless In White; The Plot In You; Amira Elfeky,5/5/2026,PPG Paints Arena,Pittsburgh,Pennsylvania,United States,https://www.bmthofficial.com
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,4/6/2026,Franklin Music Hall,Philadelphia,Pennsylvania,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,4/7/2026,Franklin Music Hall,Philadelphia,Pennsylvania,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
State Champs,Around the World and Back — 10 Yr Anniversary,Cartel; Real Friends; Broadside,1/18/2026,The Fillmore Philadelphia,Philadelphia,Pennsylvania,United States,https://statechamps.band/pages/tour
The Maine,I Love You But I Chose The Maine 2026 Tour,,4/17/2026,Franklin Music Hall,Philadelphia,Pennsylvania,United States,https://www.themaineband.com/
The Maine,I Love You But I Chose The Maine 2026 Tour,,4/14/2026,Stage AE,Pittsburgh,Pennsylvania,United States,https://www.themaineband.com/
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Weakened Friends,4/9/2026,Theatre of Living Arts,Philadelphia,Pennsylvania,United States,https://thewonderyearsband.com
The Wonder Years,No Closer to Heaven Tour,Pool Kids; Head North,4/10/2026,Theatre of Living Arts,Philadelphia,Pennsylvania,United States,https://thewonderyearsband.com
The Wonder Years,No Closer to Heaven Tour,Oso Oso; Future Teens,4/11/2026,Theatre of Living Arts,Philadelphia,Pennsylvania,United States,https://thewonderyearsband.com
The Wonder Years,No Closer to Heaven Tour,Spanish Love Songs; Bike Routes,4/12/2026,Theatre of Living Arts,Philadelphia,Pennsylvania,United States,https://thewonderyearsband.com
The Wonder Years,No Closer to Heaven Tour,Defeater; Bad Bloom,4/14/2026,Theatre of Living Arts,Philadelphia,Pennsylvania,United States,https://thewonderyearsband.com
The Wonder Years,No Closer to Heaven Tour,Origami Angel; Queen of Jeans,4/15/2026,Theatre of Living Arts,Philadelphia,Pennsylvania,United States,https://thewonderyearsband.com
Bad Omens,Do You Feel Love North America Tour,Beartooth; President,3/17/2026,Bridgestone Arena,Nashville,Tennessee,United States,https://www.badomensofficial.com
Bilmuri,Kinda Hard Tour 2026,The Home Team; GANG!,5/13/2026,The Pinnacle,Nashville,Tennessee,United States,https://www.bilmuri.com/tour
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,3/29/2026,Ryman Auditorium,Nashville,Tennessee,United States,https://www.boyslikegirls.com
Bring Me The Horizon,North American Ascension Program 2 Tour,Motionless In White; The Plot In You; Amira Elfeky,5/7/2026,Bridgestone Arena,Nashville,Tennessee,United States,https://www.bmthofficial.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,6/15/2026,Ascend Amphitheater,Nashville,Tennessee,United States,https://www.evanescence.com
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,4/25/2026,Ryman Auditorium,Nashville,Tennessee,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,4/27/2026,Ryman Auditorium,Nashville,Tennessee,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,4/28/2026,Ryman Auditorium,Nashville,Tennessee,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hot Mulligan,Bonnaroo Music and Arts Festival,Festival (various artists),6/11/2026,Great Stage Park (Bonnaroo),Manchester,Tennessee,United States,https://www.bonnaroo.com/tickets
My Chemical Romance,The Black Parade 2026 Stadium Tour,Pierce the Veil,8/13/2026,Nissan Stadium,Nashville,Tennessee,United States,https://www.mychemicalromance.com
Pierce the Veil,,,8/13/2026,Nissan Stadium,Nashville,Tennessee,United States,https://piercetheveil.net
The Maine,I Love You But I Chose The Maine 2026 Tour,,4/24/2026,Marathon Music Works,Nashville,Tennessee,United States,https://www.themaineband.com/
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Equipment,3/11/2026,Brooklyn Bowl Nashville,Nashville,Tennessee,United States,https://thewonderyearsband.com
Avenged Sevenfold,Co‑Headlining Summer 2026 Tour,Good Charlotte,8/21/2026,Dos Equis Pavilion,Dallas,Texas,United States,https://www.avengedsevenfold.com/tour
Bad Omens,Do You Feel Love North America Tour,Beartooth; President,3/19/2026,American Airlines Center,Dallas,Texas,United States,https://www.badomensofficial.com
Bad Omens,Do You Feel Love North America Tour,Beartooth; President,3/20/2026,Frost Bank Center,San Antonio,Texas,United States,https://www.badomensofficial.com
Bilmuri,Kinda Hard Tour 2026,The Home Team; GANG!,4/24/2026,South Side Ballroom,Dallas,Texas,United States,https://www.bilmuri.com/tour
Bilmuri,Kinda Hard Tour 2026,The Home Team; GANG!,4/26/2026,Bayou Music Center,Houston,Texas,United States,https://www.bilmuri.com/tour
Bilmuri,Kinda Hard Tour 2026,The Home Team; GANG!,4/25/2026,Boeing Center at Tech Port,San Antonio,Texas,United States,https://www.bilmuri.com/tour
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,4/25/2026,House of Blues Houston,Houston,Texas,United States,https://www.boyslikegirls.com
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,4/26/2026,Boeing Center at Tech Port,San Antonio,Texas,United States,https://www.boyslikegirls.com
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,5/2/2026,Austin City Limits Live,Austin,Texas,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,5/3/2026,Austin City Limits Live,Austin,Texas,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
My Chemical Romance,The Black Parade 2026 Stadium Tour,The Mars Volta,9/12/2026,Alamodome,San Antonio,Texas,United States,https://www.mychemicalromance.com
Pierce the Veil,,Guns N’ Roses (supporting),9/9/2026,Globe Life Field,Arlington,Texas,United States,https://piercetheveil.net
Pierce the Veil,,Guns N’ Roses (supporting),9/16/2026,Alamodome,San Antonio,Texas,United States,https://piercetheveil.net
The Maine,I Love You But I Chose The Maine 2026 Tour,,5/1/2026,Stubb's Waller Creek Amphitheater,Austin,Texas,United States,https://www.themaineband.com/
The Maine,I Love You But I Chose The Maine 2026 Tour,,5/2/2026,The Bomb Factory,Dallas,Texas,United States,https://www.themaineband.com/
The Maine,I Love You But I Chose The Maine 2026 Tour,,4/30/2026,House of Blues Houston,Houston,Texas,United States,https://www.themaineband.com/
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Equipment,3/14/2026,Emo’s Austin,Austin,Texas,United States,https://thewonderyearsband.com
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Equipment,3/13/2026,Granada Theater,Dallas,Texas,United States,https://thewonderyearsband.com
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Initiate,3/17/2026,The Lowbrow Palace,El Paso,Texas,United States,https://thewonderyearsband.com
Avenged Sevenfold,Co‑Headlining Summer 2026 Tour,Good Charlotte,8/25/2026,Utah First Credit Union Amphitheatre,West Valley City,Utah,United States,https://www.avengedsevenfold.com/tour
Bad Omens,Do You Feel Love North America Tour,Beartooth; President,2/22/2026,Delta Center,Salt Lake City,Utah,United States,https://www.badomensofficial.com
Bilmuri,Kinda Hard Tour 2026,The Home Team; GANG!,4/18/2026,Union Event Center,Salt Lake City,Utah,United States,https://www.bilmuri.com/tour
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,3/20/2026,Union Event Center,Salt Lake City,Utah,United States,https://www.boyslikegirls.com
Evanescence,2026 World Tour,Poppy; K.Flay,7/25/2026,Utah First Credit Union Amphitheatre,Salt Lake City,Utah,United States,https://www.evanescence.com
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Initiate,3/28/2026,The Grand at The Complex,Salt Lake City,Utah,United States,https://thewonderyearsband.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,6/27/2026,Jiffy Lube Live,Bristow,Virginia,United States,https://www.evanescence.com
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,5/10/2026,Moore Theatre,Seattle,Washington,United States,https://www.boyslikegirls.com
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found My; Arrows In Action,5/8/2026,Knitting Factory – Spokane,Spokane,Washington,United States,https://www.boyslikegirls.com
Evanescence,2026 World Tour,Poppy; K.Flay,7/22/2026,White River Amphitheatre,Auburn,Washington,United States,https://www.evanescence.com
Evanescence,2026 World Tour,Poppy; K.Flay,7/20/2026,White River Amphitheatre,Ridgefield,Washington,United States,https://www.evanescence.com
The Maine,I Love You But I Chose The Maine 2026 Tour,,3/31/2026,Showbox SoDo,Seattle,Washington,United States,https://www.themaineband.com/
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Initiate,3/25/2026,Showbox SoDo,Seattle,Washington,United States,https://thewonderyearsband.com
Bilmuri,Kinda Hard Tour 2026,The Home Team; GANG!,5/2/2026,The Sylvee,Madison,Wisconsin,United States,https://www.bilmuri.com/tour
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,3/25/2026,Landmark Credit Union Live,Milwaukee,Wisconsin,United States,https://www.boyslikegirls.com
